channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7,channel 8,Class
282,190,292,938,1106,779,613,663,
288,171,270,963,1125,823,608,654,
281,195,303,983,1153,904,556,559,
282,178,269,965,1160,961,537,546,
311,178,285,960,1145,989,535,551,
258,200,334,1040,1068,884,583,465,
232,199,338,1076,1070,864,595,537,
215,197,346,1154,1122,810,641,690,
328,237,368,1036,1347,978,621,702,
321,254,390,1025,1208,853,661,690,
305,271,439,1099,1202,834,576,643,
282,262,419,1099,1272,843,591,587,
269,263,434,1183,1193,765,546,490,
307,243,421,1190,1291,879,544,552,
335,246,423,1142,1262,915,545,625,
349,260,439,1081,1328,895,615,694,
358,270,444,1169,1359,889,679,744,
309,226,355,1025,1219,800,673,721,
320,220,324,996,1213,777,670,790,
280,218,329,987,1182,697,726,788,
270,201,312,1084,1176,756,653,745,
245,198,329,1014,1104,713,641,713,
316,276,464,1139,1255,853,668,728,
312,297,504,1174,1315,832,699,646,
318,299,501,1153,1305,886,661,595,
308,295,488,1103,1390,854,681,592,
291,278,457,1080,1373,819,629,542,
242,204,330,975,1223,739,640,565,
241,222,364,1026,1245,754,619,568,
212,224,373,1045,1327,794,577,548,
202,230,390,994,1289,852,597,557,
251,267,457,1105,1316,927,642,570,
266,274,463,1141,1301,901,592,571,
270,245,434,1108,1205,911,600,594,
284,238,426,1110,1156,857,636,638,
283,257,459,1134,1113,829,599,624,
305,246,445,1031,1053,803,561,554,
313,250,439,1003,1141,884,544,546,
315,247,433,979,1125,896,504,504,
320,223,380,958,1029,965,506,518,
250,204,338,970,1078,905,517,561,
226,179,304,991,1178,925,513,577,
221,144,235,960,1128,802,474,532,
224,147,238,1006,1150,796,490,511,
277,202,315,940,1035,713,441,599,
276,198,312,914,1055,704,405,613,
293,217,348,982,1128,753,374,612,
288,218,353,1035,1238,782,386,639,
311,211,355,979,1328,693,391,629,
273,237,439,1214,1169,844,683,625,
298,239,445,1196,1116,791,608,572,
318,240,446,1184,1196,825,620,645,
319,245,456,1186,1240,838,667,597,
292,253,470,1134,1278,773,649,563,
290,236,443,1140,1318,748,607,542,
241,252,454,1258,1412,815,632,518,
251,277,516,1293,1269,819,570,515,
242,238,447,1237,1183,860,528,522,
251,248,471,1268,1164,882,519,549,
309,264,484,1207,1101,907,560,535,
333,246,455,1133,1158,831,516,545,
319,224,406,1084,1169,811,520,578,
339,247,436,1127,1274,747,545,597,
336,296,532,1131,1318,781,606,690,
365,320,578,1204,1291,819,606,689,
387,308,550,1144,1350,808,634,658,
397,333,585,1225,1293,897,656,717,
388,291,518,1159,1245,852,660,696,
