18,32,37,22,-31,-4,-11,-14
-10,-64,-84,-17,-25,-5,-17,-37
1,-17,-62,2,55,10,-6,-8
-1,20,83,-78,-66,-19,3,-28
-12,16,-7,25,21,2,-8,29
13,12,127,11,10,3,3,-15
15,50,58,27,-17,2,6,18
-7,-36,-126,-48,19,5,-7,-33
1,-7,33,-15,-37,-16,8,26
1,-9,-49,3,-21,-12,-4,-63
12,9,-24,1,32,11,4,41
-11,-4,-41,13,-42,-12,-5,-48
-9,-4,-1,18,47,15,-2,-17
-7,0,8,-37,-24,-10,-2,34
9,-1,68,32,-17,-8,-9,-5
4,-7,-18,-27,-2,10,12,12
0,6,-10,52,39,6,8,25
-7,-36,-84,-38,5,1,-9,-24
-5,-16,41,19,-36,-12,-3,1
7,4,84,-55,6,-1,-1,-7
-5,21,-13,90,24,7,5,0
10,22,108,33,40,15,2,19
0,2,-2,-1,-23,-10,-8,-3
-14,-49,-68,14,-20,-5,-3,-18
1,-8,-25,-68,-33,-4,6,19
14,27,-44,26,-64,-11,22,110
-19,-17,46,120,98,25,-43,-69
-1,20,-2,-5,-7,-4,-5,52
-1,-6,-13,-10,-2,-1,0,34
-2,6,88,1,-2,1,9,27
4,21,-91,-78,-46,-10,10,6
-4,7,33,-7,55,7,0,-34
3,9,68,38,-97,-32,-14,-3
3,26,-87,-94,37,13,2,-36
5,1,18,84,83,24,7,4
-2,-7,-44,-45,25,6,-3,-24
-8,-20,-69,-74,-92,-35,-4,5
1,-1,44,-22,29,11,-4,-21
-3,-22,-21,-26,-20,-7,1,3
0,24,-19,37,-8,-3,0,13
4,-8,11,-43,-12,-5,-6,-4
-8,-17,-94,-55,-27,-11,-11,-19
-9,-25,8,-3,-5,-7,2,14
-1,3,81,106,-57,-6,1,-5
12,61,76,-6,95,41,15,18
-6,-16,-28,-32,-25,-4,-14,-2
-2,-9,-13,60,-12,-6,3,13
-1,3,16,-9,-27,-10,-7,-6
-3,0,-9,12,9,1,2,-6
-3,-3,24,51,10,-2,1,9
4,11,5,-128,-76,-17,-1,3
-1,1,-14,87,93,30,8,-7
-2,13,-35,75,52,29,9,24
-2,-50,22,-33,-1,-9,-12,-44
3,3,2,-80,-37,-9,6,28
3,-5,2,-68,-15,-10,-2,9
-7,1,-3,-38,-33,-10,-10,20
3,19,50,56,-5,-4,-6,12
-2,-5,-47,-3,11,1,-1,-9
0,-2,-18,-4,-6,7,6,30
2,-6,-27,-30,-29,-11,-2,-9
-7,21,101,46,12,4,0,-15
-7,-18,8,-48,-4,-1,-1,9
-5,-1,-1,-47,-7,-1,-2,-12
3,1,36,11,0,-6,-4,-14
-11,-35,-75,-47,-23,-13,-8,-15
4,4,40,-5,0,5,4,0
2,-1,25,37,11,-10,-31,-10
-42,-23,28,-18,-14,-9,25,-21
45,10,71,-12,-19,-18,-96,-37
63,-3,70,5,9,28,88,72
-19,1,23,-6,-5,14,37,-27
-6,10,12,12,-2,-37,-59,47
-6,-12,-71,-4,-1,41,96,-44
49,3,-53,17,8,-19,-79,-8
26,3,-10,7,5,-12,-17,-4
-85,-13,-35,-18,-15,-40,-104,29
67,21,101,32,20,71,101,-10
-34,-17,-25,-34,-10,-8,4,22
-26,-7,73,6,-14,-12,-23,-64
18,-2,-52,4,5,-9,-50,38
-3,8,-35,-10,-11,-30,-14,23
-78,12,-38,-3,4,1,-10,-86
-26,-28,-41,13,2,-4,-39,61
34,-4,43,11,9,58,103,-50
-32,-8,-80,-25,-6,-8,15,-18
15,-9,20,-18,-1,-9,-7,-7
-27,6,-55,-9,3,-26,-77,13
-10,15,41,-28,-1,35,51,-14
-12,-4,9,31,-10,-40,-19,53
