channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7,channel 8,Class
24,23,25,24,25,23,23,24,Rest
22,23,27,24,25,22,23,22,Rest
22,24,25,24,25,23,22,22,Rest
23,23,25,24,23,24,23,22,Rest
24,26,25,24,24,22,21,23,Rest
23,26,25,25,23,23,21,22,Rest
23,26,25,26,23,23,21,23,Rest
23,24,24,25,24,24,21,23,Rest
23,22,27,24,23,24,24,23,Rest
24,24,28,25,23,27,25,21,Rest
25,23,27,24,23,27,25,22,Rest
22,24,27,22,26,26,25,21,Rest
24,23,28,24,28,26,22,21,Rest
23,27,28,24,27,26,20,21,Rest
23,26,27,23,26,25,21,21,Rest
24,26,26,22,26,22,21,22,Rest
24,25,25,25,24,23,21,23,Rest
25,27,24,25,26,24,21,22,Rest
24,28,25,26,26,22,21,23,Rest
23,29,25,25,25,24,22,23,Rest
27,29,25,23,26,25,23,22,Rest
26,26,24,24,26,25,23,22,Rest
25,25,25,22,24,24,25,23,Rest
24,26,23,23,21,23,19,24,Rest
20,25,25,25,22,25,18,23,Rest
23,25,24,25,22,24,19,24,Rest
21,23,22,28,25,23,25,25,Rest
25,24,24,26,25,22,23,25,Rest
26,26,25,24,24,24,24,25,Rest
24,27,26,24,24,21,26,24,Rest
24,28,27,24,23,24,23,24,Rest
23,28,26,25,24,23,24,22,Rest
20,27,24,25,27,23,22,22,Rest
24,27,24,25,25,23,25,22,Rest
25,27,24,23,25,20,26,23,Rest
27,26,24,24,27,21,25,22,Rest
27,25,24,25,25,20,26,20,Rest
22,24,24,19,26,24,21,22,Rest
23,24,25,18,27,23,23,22,Rest
26,24,25,21,28,24,23,23,Rest
26,25,24,22,28,25,24,24,Rest
24,25,24,24,28,25,24,24,Rest
24,28,24,24,26,27,25,24,Rest
20,27,23,25,26,25,22,24,Rest
19,26,25,24,25,24,22,22,Rest
23,26,25,23,26,24,22,22,Rest
24,24,23,23,26,24,21,21,Rest
26,24,24,22,24,24,22,22,Rest
27,25,25,23,24,26,20,21,Rest
28,27,28,24,23,27,18,23,Rest
27,26,30,22,22,28,20,24,Rest
25,26,27,22,24,28,20,25,Rest
26,27,27,22,24,26,20,26,Rest
24,26,24,21,25,24,19,25,Rest
24,27,25,21,26,24,21,25,Rest
25,25,26,22,25,25,22,23,Rest
26,27,24,25,23,24,21,24,Rest
24,25,25,23,24,24,22,23,Rest
24,26,22,23,24,24,21,22,Rest
