,channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7,channel 8,channel 9,channel 10,channel 11,channel 12,channel 13,channel 14,channel 15,channel 16,channel 17,channel 18
0,93,82,116,181,162,89,74,39,0.7789306640625,0.55224609375,0.2318115234375,-0.18572998046875,-0.43994140625,0.8759765625,0.0322265625,-3.625,0.5625,-1.625
0,78,81,105,177,177,97,63,36,0.7742919921875,0.554443359375,0.23870849609375,-0.1898193359375,-1.08837890625,0.45458984375,-0.17236328125,4.6875,-1.25,-2.125
0,72,82,93,151,198,106,57,36,0.7803955078125,0.54864501953125,0.2327880859375,-0.18896484375,-0.22509765625,0.85791015625,1.044921875,-0.625,-0.9375,-1.0625
0,61,83,84,135,190,111,53,34,0.7806396484375,0.5501708984375,0.22991943359375,-0.1871337890625,-0.31396484375,0.9033203125,0.22509765625,0.5,-3.1875,0.5625
0,47,87,200,230,175,162,57,44,0.77374267578125,0.5552978515625,0.23736572265625,-0.19097900390625,-1.10595703125,0.4775390625,-0.45849609375,7.9375,-3.9375,-1.125
0,78,100,235,269,161,314,145,189,0.77655029296875,0.5516357421875,0.23577880859375,-0.19244384765625,-0.5556640625,0.6435546875,0.75927734375,7.0,0.3125,0.375
0,176,186,306,285,197,530,281,474,0.78033447265625,0.55010986328125,0.229248046875,-0.189208984375,-0.16015625,0.9931640625,0.6455078125,-1.1875,-2.9375,6.0625
0,344,342,534,375,354,836,502,651,0.7724609375,0.55804443359375,0.2333984375,-0.1929931640625,-1.09521484375,0.58251953125,-0.5068359375,22.1875,-15.75,7.5625
0,391,495,695,505,438,1056,584,833,0.76806640625,0.5640869140625,0.22998046875,-0.1973876953125,-0.69775390625,0.81396484375,0.072265625,39.5,-26.5625,-0.1875
0,415,644,865,555,449,1132,634,893,0.77349853515625,0.56097412109375,0.21893310546875,-0.197509765625,-0.16455078125,0.9697265625,1.2626953125,32.3125,-12.625,8.25
0,457,740,1033,679,509,1165,715,1005,0.76922607421875,0.566650390625,0.2132568359375,-0.20404052734375,-0.01513671875,0.26953125,-0.2255859375,36.25,-43.4375,-18.4375
0,445,767,1129,791,520,1135,683,950,0.75787353515625,0.57940673828125,0.208251953125,-0.21551513671875,-1.25146484375,0.99755859375,0.13525390625,110.6875,-34.5625,-24.8125
0,353,720,1068,788,488,1089,613,918,0.752685546875,0.58740234375,0.201171875,-0.2188720703125,-0.3828125,0.96728515625,0.0185546875,50.3125,-31.0625,-4.9375
0,311,650,1048,752,444,989,552,775,0.75323486328125,0.58734130859375,0.19915771484375,-0.21881103515625,-0.57470703125,0.96337890625,0.21044921875,-3.5,-10.25,2.125
0,300,552,964,743,445,967,520,711,0.7557373046875,0.5845947265625,0.19818115234375,-0.21844482421875,-0.48193359375,0.69384765625,0.31689453125,-13.4375,-4.9375,4.75
0,236,480,858,667,402,971,425,621,0.75653076171875,0.58331298828125,0.19873046875,-0.2186279296875,-0.6484375,0.6181640625,0.2841796875,-3.375,-0.4375,9.125
0,239,446,767,586,389,980,438,630,0.7557373046875,0.583984375,0.19830322265625,-0.21990966796875,-0.572265625,0.654296875,0.30859375,13.8125,-2.0,1.8125
0,255,447,777,566,354,933,466,672,0.7540283203125,0.58721923828125,0.1964111328125,-0.21905517578125,-0.5576171875,0.8486328125,0.22216796875,19.875,0.1875,10.0625
0,325,480,778,575,344,970,524,729,0.75439453125,0.5875244140625,0.19580078125,-0.21734619140625,-0.529296875,0.775390625,0.25927734375,0.6875,4.4375,9.9375
0,375,447,730,568,392,1066,644,846,0.7554931640625,0.58709716796875,0.19549560546875,-0.215087890625,-0.541015625,0.77685546875,0.25244140625,-6.125,5.4375,12.0
0,381,403,695,552,414,1162,642,819,0.75604248046875,0.5872802734375,0.19482421875,-0.2132568359375,-0.5234375,0.81005859375,0.20751953125,-3.9375,2.0,9.6875
0,381,443,790,582,454,1166,670,815,0.75628662109375,0.58758544921875,0.19384765625,-0.21221923828125,-0.5048828125,0.80712890625,0.18701171875,-2.1875,-1.625,6.375
0,387,532,841,646,483,1178,670,963,0.7568359375,0.58746337890625,0.19305419921875,-0.211669921875,-0.51904296875,0.82275390625,0.17529296875,-5.75,-4.5625,3.8125
0,367,517,837,629,530,1253,659,982,0.757568359375,0.58648681640625,0.19256591796875,-0.2120361328125,-0.4892578125,0.775390625,0.19482421875,-7.625,-5.9375,-2.0625
0,313,515,849,610,492,1188,547,935,0.75836181640625,0.58551025390625,0.192626953125,-0.21197509765625,-0.5537109375,0.85107421875,0.15771484375,-12.3125,-5.125,-0.8125
0,332,524,881,638,510,1152,565,944,0.75909423828125,0.58380126953125,0.19305419921875,-0.2135009765625,-0.583984375,0.74658203125,0.17236328125,-12.0625,-9.5,-4.8125
0,364,473,750,583,471,1190,519,916,0.75921630859375,0.5826416015625,0.1929931640625,-0.21624755859375,-0.533203125,0.71435546875,0.2666015625,0.3125,-10.1875,-10.125
0,392,402,749,520,425,1158,437,672,0.7587890625,0.5826416015625,0.19293212890625,-0.21783447265625,-0.5703125,0.8203125,0.24609375,2.9375,-5.4375,-6.5625
0,371,362,666,495,385,1010,456,663,0.7593994140625,0.5811767578125,0.1937255859375,-0.21881103515625,-0.5322265625,0.7392578125,0.27392578125,-5.875,-1.1875,-6.5625
